RECUPERATE_DATE,DOSE_DAYS_SUM,RECUPERATE_DATE_1,temp_diff,ilsahap_mj_m2,ilsohap_hr
20130222,511,20130222,7.4,11.62,7.4
20130223,59,20130223,6.8,14.41,9.7
20130225,194,20130225,9.3,10.64,6.2
20130226,432,20130226,5,3.14,0
20130227,914,20130227,8,13.21,7
20130228,563,20130228,15,11.39,6.7
20130302,213,20130302,7.5,14.67,9.7
20130304,609,20130304,9.6,10.62,5.8
20130305,675,20130305,9.8,15.92,10.7
20130306,843,20130306,13.4,11.78,6.9
20130307,504,20130307,7.4,4.79,2.2
20130308,374,20130308,10.3,11.61,6.1
20130309,295,20130309,17.6,13.95,9.4
20130311,1092,20130311,14.7,17.9,11.2
20130312,791,20130312,10.1,6.16,3
20130313,490,20130313,6.6,9.72,5.7
20130314,373,20130314,8.9,15.69,9.3
20130315,534,20130315,10.5,16.66,10.7
20130316,263,20130316,11.1,15.76,10.8
20130318,482,20130318,8.9,16.12,9.3
20130319,659,20130319,6.2,8.28,3.2
20130320,757,20130320,11,11.32,5.6
20130321,721,20130321,11.2,18.56,11.2
20130322,637,20130322,6,4.67,0.7
20130323,146,20130323,13.3,18.45,11.2
20130325,627,20130325,8.5,19.9,11.5
20130326,582,20130326,11.3,18.86,11.5
20130327,678,20130327,13.5,19.85,11.4
20130328,545,20130328,7.6,10.62,4
20130329,329,20130329,9.8,20.29,11.7
20130330,335,20130330,7.9,9.76,3.4
20130401,610,20130401,10.1,10.14,0.9
20130402,653,20130402,3.7,3.26,0.6
20130403,702,20130403,10.2,17.39,8.7
20130404,586,20130404,14.2,18.18,10.7
20130405,792,20130405,9.8,10.99,2.1
20130406,246,20130406,10.5,2.48,0
20130408,585,20130408,11.3,15.6,7.5
20130409,660,20130409,7.5,17.86,10.2
20130410,767,20130410,6.8,12.56,8.6
20130411,411,20130411,5.9,15.41,10.1
20130412,447,20130412,9.7,18.42,11.6
20130413,107,20130413,14.1,19.53,10
20130415,396,20130415,9.9,9.58,2.2
20130416,856,20130416,10.5,11.55,2.7
20130417,520,20130417,10.3,19.62,9.4
20130418,514,20130418,7.3,16.75,7.8
20130419,390,20130419,9.9,20.53,10.2
20130420,221,20130420,6.1,3.73,0.1
20130422,639,20130422,11.6,21.53,10.7
20130423,528,20130423,5.1,4.96,0
20130424,443,20130424,9.7,21.46,11.8
20130425,426,20130425,5.9,7.66,2.7
20130426,525,20130426,9.4,19.71,11.7
20130427,234,20130427,10.3,21.5,11.6
20130429,696,20130429,8.7,14.17,6.7
20130430,471,20130430,11.8,22.65,10.7
20130501,226,20130501,9.9,20.16,10.5
20130502,386,20130502,8.1,14.27,8.9
20130503,500,20130503,9.2,14.75,6.2
20130504,204,20130504,10.3,21.12,11.2
20130506,891,20130506,13.4,20.57,10.8
